duration	time_plus	time_minus	flux	flux_plus	flux_minus
72.498	2.111	-2.327	9.86199078e-10	1.84505175e-10	-1.590748728e-10
76.459	1.624	-1.85	1.277608278e-09	1.979111328e-10	-1.940795886e-10
79.511	1.803	-1.428	1.338496404e-09	2.086523544e-10	-2.092848756e-10
83.420	1.745	-2.106	1.170889998e-09	1.78557858e-10	-1.796488674e-10
87.265	1.717	-2.099	1.147595562e-09	1.827593184e-10	-1.83352641e-10
91.259	2.241	-2.277	9.98882808e-10	1.537067508e-10	-1.521138456e-10
95.086	1.780	-1.586	1.283167086e-09	2.15455416e-10	-2.057918448e-10
99.228	2.347	-2.362	9.30641376e-10	1.531755018e-10	-1.464683322e-10
103.658	1.749	-2.083	1.110127044e-09	1.923002796e-10	-1.820276478e-10
107.708	1.812	-2.301	1.049626146e-09	1.76450064e-10	-1.683754452e-10
111.615	2.270	-2.094	9.881634e-10	1.64637414e-10	-1.581404748e-10
115.938	2.321	-2.054	9.96232236e-10	1.663813308e-10	-1.57460154e-10
120.336	1.934	-2.076	1.055376006e-09	1.742437428e-10	-1.706596512e-10
124.228	1.689	-1.958	1.208287146e-09	1.89932955e-10	-1.875733896e-10
128.136	2.056	-2.219	9.89551638e-10	1.618373676e-10	-1.616082516e-10
132.286	1.792	-2.094	1.138605504e-09	1.754387694e-10	-1.75569651e-10
135.755	2.298	-1.678	1.146628224e-09	1.723138614e-10	-1.73108667e-10
140.012	1.934	-1.959	1.17126039e-09	1.757270676e-10	-1.766860608e-10
145.090	2.999	-3.144	7.23361668e-10	1.121749008e-10	-1.128966894e-10
150.105	2.107	-2.015	1.097596302e-09	1.669817538e-10	-1.680799368e-10
154.958	2.369	-2.746	8.85098532e-10	1.324515936e-10	-1.33165989e-10
159.466	2.613	-2.139	9.079545e-10	1.414046124e-10	-1.419324576e-10
164.232	3.081	-2.153	8.40224004e-10	1.290229788e-10	-1.291063902e-10
169.634	2.826	-2.321	8.57290584e-10	1.348870674e-10	-1.344156228e-10
177.197	3.858	-4.737	4.96501692e-10	8.12802552e-11	-8.08965408e-11
184.172	3.457	-3.117	6.76185e-10	1.040863374e-10	-1.039684488e-10
190.252	3.243	-2.623	7.37134248e-10	1.18659762e-10	-1.162244346e-10
208.313	22.360	-14.819	4.2943878e-10	6.657174e-11	-6.61545366e-11
235.113	4.598	-4.44	3.506562186e-10	6.55055454e-11	-6.4993914e-11
245.086	7.460	-5.375	3.196278732e-10	5.2973742e-11	-5.27379282e-11
281.373	2229.432	-27.147	2.088662814e-12	3.840804e-13	-3.840804e-13
