duration	time_plus	time_minus	flux	flux_plus	flux_minus
187.095617309699	3.98349569689333	-4.33124634861267	3.53709791464857e-10	4.64443709848063e-11	-4.64443709848067e-11
214.857	8.813	-6.231	1.411819503e-10	3.096495585e-11	-3.096495585e-11
228.794	4.905	-5.124	2.017014762e-10	4.52941563e-11	-4.52941563e-11
240.052	8.691	-6.353	1.365065088e-10	3.055621905e-11	-3.055621905e-11
256.152	10.142	-7.409	1.219830936e-10	2.667282321e-11	-2.667282321e-11
275.855	7.990	-9.561	1.393100592e-10	2.851221501e-11	-2.851221501e-11
296.456	9.955	-12.611	1.051489896e-10	2.198596695e-11	-2.198596695e-11
323.416	18.098	-17.005	5.82433557e-11	1.306522152e-11	-1.306522152e-11
355.562	18.547	-14.048	6.25744875e-11	1.402185156e-11	-1.402185156e-11
397.500	24.248	-23.391	4.26992796e-11	9.57835143e-12	-9.57835143e-12
440.002	26.877	-18.254	4.57322301e-11	1.025870694e-11	-1.025870694e-11
493.173	31.374	-26.294	3.571656687e-11	8.02908351e-12	-8.02908351e-12
571.710	50.622	-47.163	2.085762021e-11	4.70888949e-12	-4.70888949e-12
677.320	60.349	-54.987	1.867114503e-11	4.09924377e-12	-4.09924377e-12
809.081	56.462	-71.411	1.13114328e-11	2.545740273e-12	-2.545740273e-12
923.823	67.086	-58.28	6.91248681e-12	1.554252924e-12	-1.554252924e-12
1052.165	86.674	-61.257	5.81265411e-12	1.308410007e-12	-1.308410007e-12
1207.632	51.559	-68.792	7.14378429e-12	1.61162238e-12	-1.61162238e-12
1310.783	51.207	-51.592	8.34324849e-12	1.875955608e-12	-1.875955608e-12
1466.599	78.425	-104.609	3.711403677e-12	9.47446797e-13	-9.47446797e-13
1624.380	138.781	-79.355	3.531205536e-12	8.42642079e-13	-8.42642079e-13
1867.857	100.902	-104.697	4.17212907e-12	9.41223924e-13	-9.41223924e-13
2075.201	114.202	-106.441	3.9093267e-12	8.84890026e-13	-8.84890026e-13
2315.410	112.187	-126.007	2.691584406e-12	7.07450706e-13	-7.07450706e-13
2598.551	185.076	-170.954	3.158662974e-12	6.26375049e-13	-6.26375049e-13
6416.324	218.183	-340.949	1.243489131e-12	3.247110981e-13	-3.247110981e-13
8583.468	5734.135	-1948.961	5.02924191e-13	8.67054273e-14	-8.67054273e-14
87841.707	69842.033	-47224.313	4.15892361e-14	1.239001332e-14	-1.239001332e-14
