duration	time_plus	time_minus	flux	flux_plus	flux_minus
96.352	8.270	-11.788	6.5996255e-11	1.41344255e-11	-1.41344255e-11
111.617	10.556	-6.995	7.39897275e-11	1.617144425e-11	-1.617144425e-11
134.900	12.346	-12.727	5.04891075e-11	1.114087975e-11	-1.114087975e-11
167.346	22.524	-20.1	3.1402332e-11	6.86339875e-12	-6.86339875e-12
232.142	40.470	-42.272	1.111187675e-11	2.501535725e-12	-2.501535725e-12
313.024	37.315	-40.412	9.0405185e-12	2.0491146e-12	-2.0491146e-12
391.760	43.826	-41.422	1.113971625e-11	2.162716725e-12	-2.162716725e-12
3784.467	142.957	-130.34	2.060441825e-12	5.38183425e-13	-5.38183425e-13
4115.062	216.036	-187.637	2.5152842e-12	4.8886435e-13	-4.8886435e-13
5900.451	274.212	-332.555	1.236557075e-12	2.860168025e-13	-2.860168025e-13
14103.898	8058.141	-4706.414	3.996967e-13	7.28453375e-14	-7.28453375e-14
83246.009	8882.613	-4925.141	8.33984125e-14	3.181019075e-14	-2.56997585e-14
